Player Tag,ID,Level,Arena,Total Exp Points,Trophies,Max Trophies,Donations,Donations Received,Total Donations,Donation Ratio,Role,Clan Cards Collected,Total Games,Wins,Win Rate,Losses,Loss Rate
#LV0LV,FAJRI JR,5,Arena 3,709,676,857,0,0,200,1.1560693641618498,leader,0,173,73,0.42,97,0.56
#8R80YP,<c7>omeganike</,37,Arena 15,117657,5492,5671,0,0,32202,4.117376294591485,,3125,7821,3382,0.43,3359,0.43
#R0VJQ,jonas123,10,Arena 6,0,1954,2235,0,0,9192,10.37471783295711,member,0,886,405,0.46,437,0.49
#JRRULRR9C,samuel,4,Arena 2,0,377,423,0,0,12,0.21428571428571427,,0,56,25,0.45,30,0.54
#QRJVULQQ9,ash,8,Arena 12,0,3775,3848,0,0,96,0.3106796116504854,,0,309,155,0.5,153,0.5
#92UJ8Y,hansi28,9,Arena 8,0,2472,2472,0,0,6673,7.540112994350283,member,0,885,261,0.29,202,0.23
#UYJJ2QVPU,rasse,5,Arena 1,200,244,244,0,0,0,0.0,member,0,8,8,1.0,0,0.0
#9CJP8U9CP,,1,Training Camp,0,0,0,0,0,0,0.0,,0,0,0,0.0,0,0.0
#L8UJQ0,Arnau085♥️Giant,51,Arena 20,467204,7500,7500,0,0,164686,5.188267910024573,coLeader,303100,31742,14383,0.45,12281,0.39
#CQ0LU,스바루,10,Arena 10,0,3326,3326,0,0,20877,8.183849470795767,,0,2551,955,0.37,830,0.33
#VCPCCU,Hubert,55,Arena 21,812011,8121,8121,0,0,100618,7.495939804812635,coLeader,69440,13423,6349,0.47,4756,0.35
#CP2L99CVR,alessia,7,Arena 6,0,1744,1897,0,0,102,0.2786885245901639,,0,366,153,0.42,212,0.58
#QLUVUVQ,Neymar,52,Arena 21,537442,8158,8314,36,120,144204,4.493736366469305,member,276205,32090,15018,0.47,11979,0.37
#9CV0JVYJ,Esdeath,11,Arena 14,60736,4739,5123,0,0,10246,2.039004975124378,,84927,5025,2069,0.41,1980,0.39
#LY9P2P99R,Pedro,4,Arena 2,0,367,384,0,0,0,0.0,member,0,50,18,0.36,24,0.48
#CQ8RP2JU9,paula,7,Arena 6,0,1637,1730,0,0,69,0.33495145631067963,,0,206,116,0.56,89,0.43
#80V09,→Ricky93Pa™←,52,Arena 21,551625,8030,8283,0,0,62937,2.642413300864892,member,135107,23818,10454,0.44,9978,0.42
#8CVLLVYP,Alien,36,Arena 15,99008,5242,5273,0,0,34734,5.87914691943128,,57513,5908,2760,0.47,2591,0.44
#LYCUPYC8Q,Steve,10,Arena 12,0,3653,3774,0,0,324,0.4,,0,810,497,0.61,312,0.39
#R2RUPCPCQ,marcosjp,4,Arena 2,0,419,490,0,0,0,0.0,,0,37,20,0.54,13,0.35
#8R2J8UY09,Catmen,28,Arena 14,28632,4764,4969,0,0,5094,3.936630602782071,,16800,1294,357,0.28,276,0.21
#9008JJPQQ,pise,5,Arena 2,469,470,470,0,0,0,0.0,leader,0,19,16,0.84,3,0.16
#RJCV9RQ0Y,milena,8,Arena 10,0,3162,3222,0,0,90,0.3643724696356275,,0,247,149,0.6,97,0.39
#UVV0J0,SHUBHAM,10,Arena 11,0,3408,3482,0,0,23632,7.93020134228188,,5460,2980,926,0.31,929,0.31
#L09Q2,73mp357yt,31,Arena 14,48471,4715,4747,0,0,18915,5.742258652094717,,0,3294,1454,0.44,1547,0.47
